ID,Albums
758025,Speak Now (Taylor’s Version)
1040217,Midnights (The Late Night Edition)
1040211,Midnights (The Til Dawn Edition)
1027134,folklore: the long pond studio sessions (Record Store Day Exclusive)
1013719,The More Red (Taylor’s Version) Chapter
1013715,The More Lover Chapter
1013718,The More Fearless (Taylor’s Version) Chapter
1008313,Lavender Haze (Remixes)
1032700,Lover (Live From Paris) Heart Shaped Vinyl
969188,Anti-Hero (Remixes) 
945000,Midnights
949856,Midnights (Target Exclusive)
962334,Midnights (3am Edition)
959034,Midnights (Apple Music Exclusive) 
921019,Carolina (From The Motion Picture “Where The Crawdads Sing”)
916591,All Too Well (10 Minute Version) [The Short Film] - EP
873527,"the lakes - 7"" Single (Record Store Day Exclusive)"
862870,Red (Taylor’s Version): From The Vault Chapter 
862869,Red (Taylor’s Version): The Slow Motion Chapter 
862783,Message In A Bottle (Fat Max G Remix) (Taylor’s Version) 
861675,Red (Taylor’s Version): She Wrote A Song About Me Chapter
859646,Red (Taylor’s Version): Could You Be The One Chapter
758022,Red (Taylor’s Version)
779383,evermore (digitally autographed fan edition)
776228,Fearless (Taylor’s Version): The From the Vault Chapter
775761,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter
773617,Fearless (Taylor’s Version): The Kissing In The Rain Chapter
771313,Fearless (Taylor’s Version): The Halfway Out the Door Chapter
734107,Fearless (Taylor’s Version)
731261,the “ladies lunching” chapter
12682,Taylor Swift
350177,Fearless (Platinum Edition)
597883,Speak Now (Deluxe)
22453,Red
110728,1989
350247,Reputation
520929,Lover
659925,Folklore
710140,Evermore
10982,Speak Now
14637,Speak Now: World Tour Live
710147,evermore (deluxe version)
726425,evermore (Japanese Edition)
728549,evermore: the “forever is the sweetest con” chapter
725953,evermore: the dropped your hand while dancing chapter
1040211,Midnights (The Till Dawn Edition)
1183806,THE TORTURED POETS DEPARTMENT + “Cassandra” (First Draft Phone Memo)
1183805,THE TORTURED POETS DEPARTMENT + “Who’s Afraid Of Little Old Me?” First Draft Phone Memo
1183807,THE TORTURED POETS DEPARTMENT + “The Black Dog” (First Draft Phone Memo)
1180206,THE TORTURED POETS DEPARTMENT + Bonus Track “But Daddy I Love Him (Acoustic Version)”
1140061,THE TORTURED POETS DEPARTMENT (Physical Version)
1148040,THE TORTURED POETS DEPARTMENT (”The Albatross” Edition)
1171508,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
1144980,THE TORTURED POETS DEPARTMENT (”The Bolter” Edition)
1151880,THE TORTURED POETS DEPARTMENT (”The Black Dog” Edition)
1140058,THE TORTURED POETS DEPARTMENT
1105019,1989 (Taylor’s Version) [Webstore Deluxe]
1099677,1989 (Taylor’s Version) [Deluxe]
754738,1989 (Taylor’s Version)
1082316,1989 (Taylor’s Version) (Tangerine Edition)
1096172,The Cruelest Summer
1058580,Speak Now (Taylor’s Version) [Digital Deluxe]
1032700,Lover (Live from Paris)
