,ID,Tracks
0,6688259,Welcome To New York (Taylors Version)
1,6688260,Blank Space (Taylors Version)
2,6688261,Style (Taylors Version)
3,6688262,Out Of The Woods (Taylors Version)
4,6688263,All You Had To Do Was Stay (Taylors Version)
5,6688264,Shake It Off (Taylors Version)
6,6688265,I Wish You Would (Taylors Version)
7,6688266,Bad Blood (Taylors Version)
8,6688267,Wildest Dreams (Taylors Version)
9,6688268,How You Get The Girl (Taylors Version)
10,6688270,This Love (Taylors Version)
11,6688271,I Know Places (Taylors Version)
12,6688272,Clean (Taylors Version)
13,6688274,Wonderland (Taylors Version)
14,6688275,You Are In Love (Taylors Version)
15,6688276,New Romantics (Taylors Version)
16,9539416,Slut! (Taylors Version) [From The Vault]
17,9538405,Say Dont Go (Taylors Version) [From The Vault]
18,9666585,Now That We Dont Talk (Taylors Version) [From The Vault]
19,9538403,Suburban Legends (Taylors Version) [From The Vault]
20,9538404,Is It Over Now? (Taylors Version) [From The Vault]
21,9670940,Bad Blood (Remix) (Taylors Version)
22,9716981,Slut! (Acoustic Version) (Taylors Version)
