,ID,Tracks
0,6478825,Fearless (Taylors Version)
1,6478830,Fifteen (Taylors Version)
2,6478833,Love Story (Taylors Version)
3,6478837,Hey Stephen (Taylors Version)
4,6478838,White Horse (Taylors Version)
5,6478841,You Belong With Me (Taylors Version)
6,6478843,Breathe (Taylors Version)
7,6478845,Tell Me Why (Taylors Version)
8,6478847,Youre Not Sorry (Taylors Version)
9,6478850,The Way I Loved You (Taylors Version)
10,6478851,Forever & Always (Taylors Version)
11,6478852,The Best Day (Taylors Version)
12,6478853,Change (Taylors Version)
13,6478856,Jump Then Fall (Taylors Version)
14,6478858,Untouchable (Taylors Version)
15,6478860,Forever & Always (Piano Version) [Taylors Version]
16,6478862,Come In With The Rain (Taylors Version)
17,6478871,Superstar (Taylors Version)
18,6478873,The Other Side of the Door (Taylors Version)
19,6478877,Today Was a Fairytale (Taylors Version)
20,2975370,You All Over Me (Taylors Version) [From the Vault]
21,4499981,Mr. Perfectly Fine (Taylors Version) [From the Vault]
22,187445,We Were Happy (Taylors Version) [From the Vault]
23,2973355,Thats When (Taylors Version) [From the Vault]
24,4499926,Dont You (Taylors Version) [From the Vault]
25,187271,Bye Bye Baby (Taylors Version) [From the Vault]
26,6635936,Love Story (Taylors Version) [Elvira Remix]
