,ID,Tracks
0,8442190,Lavender Haze
1,8485907,Maroon
2,8434253,Anti-Hero
3,8445376,Snow On The Beach
4,8485908,"Youre On Your Own, Kid"
5,8485905,Midnight Rain
6,8485912,Question...?
7,8485914,Vigilante Shit
8,8485915,Bejeweled
9,8445366,Labyrinth
10,8485918,Karma
11,8485919,Sweet Nothing
12,8400683,Mastermind
13,8486441,The Great War
14,8486443,Bigger Than The Whole Sky
15,8486442,High Infidelity
16,8486447,"Wouldve, Couldve, Shouldve"
17,8486436,Dear Reader
18,9157489,Youre Losing Me (From The Vault)
19,9157481,Snow On The Beach (feat. More Lana Del Rey)
20,9157172,Karma (Remix)
