,ID,Tracks
0,6688185,State of Grace (Taylors Version)
1,6688196,Red (Taylors Version)
2,6688197,Treacherous (Taylors Version)
3,6688198,I Knew You Were Trouble (Taylors Version)
4,6688199,All Too Well (Taylors Version)
5,6688200,22 (Taylors Version)
6,6688201,I Almost Do (Taylors Version)
7,6688202,We Are Never Ever Getting Back Together (Taylors Version)
8,6688203,Stay Stay Stay (Taylors Version)
9,6688204,The Last Time (Taylors Version)
10,6688205,Holy Ground (Taylors Version)
11,6688206,Sad Beautiful Tragic (Taylors Version)
12,6688207,The Lucky One (Taylors Version)
13,6688208,Everything Has Changed (Taylors Version)
14,6688209,Starlight (Taylors Version)
15,6688210,Begin Again (Taylors Version)
16,6688338,The Moment I Knew (Taylors Version)
17,6688341,Come Back...Be Here (Taylors Version)
18,6688339,Girl At Home (Taylors Version)
19,7379117,State Of Grace (Acoustic Version) (Taylors Version)
20,7078171,Ronan (Taylors Version)
21,7076619,Better Man (Taylors Version) [From the Vault]
22,4809175,Nothing New (Taylors Version) [From the Vault]
23,7076620,Babe (Taylors Version) [From the Vault]
24,7078185,Message In A Bottle (Taylors Version) [From the Vault]
25,4499978,I Bet You Think About Me (Taylors Version) [From the Vault]
26,7076622,Forever Winter (Taylors Version) [From the Vault]
27,7076623,Run (Taylors Version) [From the Vault]
28,7076625,The Very First Night (Taylors Version) [From the Vault]
29,7076626,All Too Well (10 Minute Version) (Taylors Version) [From the Vault]
30,7291673,A Message From Taylor
