,ID,Tracks
0,6688213,Mine (Taylors Version)
1,6688225,Sparks Fly (Taylors Version)
2,6688226,Back To December (Taylors Version)
3,6688227,Speak Now (Taylors Version)
4,6688228,Dear John (Taylors Version)
5,6688229,Mean (Taylors Version)
6,6688230,The Story Of Us (Taylors Version)
7,6688231,Never Grow Up (Taylors Version)
8,6688232,Enchanted (Taylors Version)
9,6688233,Better Than Revenge (Taylors Version)
10,6688235,Innocent (Taylors Version)
11,6688236,Haunted (Taylors Version)
12,6688237,Last Kiss (Taylors Version)
13,6688238,Long Live (Taylors Version)
14,6688372,Ours (Taylors Version)
15,6688374,Superman (Taylors Version)
16,9199814,Electric Touch (Taylors Version) [From The Vault]
17,9199809,When Emma Falls in Love (Taylors Version) [From The Vault]
18,4499979,I Can See You (Taylors Version) [From The Vault]
19,4499925,Castles Crumbling (Taylors Version) [From The Vault]
20,3947017,Foolish One (Taylors Version) [From The Vault]
21,9199321,Timeless (Taylors Version) [From The Vault]
22,9324783,Dear John (Live From Minneapolis)
23,9324784,Last Kiss (Live From Kansas City)
