,ID,Tracks
0,10024009,Fortnight
1,10024578,The Tortured Poets Department
2,10024528,My Boy Only Breaks His Favorite Toys
3,10024535,Down Bad
4,10024536,"So Long, London"
5,10024520,But Daddy I Love Him
6,10024544,Fresh Out The Slammer
7,10291434,Florida!!!
8,10024517,Guilty as Sin?
9,10024563,Whos Afraid of Little Old Me?
10,10024518,I Can Fix Him (No Really I Can)
11,10024526,loml
12,10024512,I Can Do It With A Broken Heart
13,10024519,The Smallest Man Who Ever Lived
14,10024521,The Alchemy
15,10024516,Clara Bow
16,10408664,Cassandra (First Draft Phone Memo)
