,ID,Tracks
0,6206232,the 1 (the long pond studio sessions)
1,6206211,cardigan (the long pond studio sessions)
2,6206233,the last great american dynasty (the long pond studio sessions)
3,6206234,exile (the long pond studio sessions)
4,6206235,my tears ricochet (the long pond studio sessions)
5,6206238,mirrorball (the long pond studio sessions)
6,6206239,seven (the long pond studio sessions)
7,6206246,august (the long pond studio sessions)
8,6206247,this is me trying (the long pond studio sessions)
9,6206248,illicit affairs (the long pond studio sessions)
10,6206249,invisible string (the long pond studio sessions)
11,6206250,mad woman (the long pond studio sessions)
12,6206251,epiphany (the long pond studio sessions)
13,6206252,betty (the long pond studio sessions)
14,6206253,peace (the long pond studio sessions)
15,6206254,hoax (the long pond studio sessions)
16,6206256,the lakes (the long pond studio sessions)
